지점,지점명,일시,일 최심신적설(cm),일 최심신적설 시각(hhmi)
102,백령도,2012-01-03,7,2120
102,백령도,2012-01-12,5.1,1220
102,백령도,2012-01-23,.2,2130
102,백령도,2012-01-24,.1,1550
102,백령도,2012-01-25,.1,1950
102,백령도,2012-01-26,.1,550
102,백령도,2012-01-31,3.6,1720
102,백령도,2012-02-01,.2,2050
102,백령도,2012-02-02,.4,1050
102,백령도,2012-02-03,2.9,2345
102,백령도,2012-02-08,.6,755
102,백령도,2012-11-30,0,1810
102,백령도,2012-12-04,0,930
102,백령도,2012-12-05,12,1010
102,백령도,2012-12-06,0,825
102,백령도,2012-12-07,6.5,1500
102,백령도,2012-12-08,5.6,2245
102,백령도,2012-12-09,2.6,1630
102,백령도,2012-12-10,.4,1050
102,백령도,2012-12-18,.9,1700
102,백령도,2012-12-20,.1,345
102,백령도,2012-12-21,2,1200
102,백령도,2012-12-23,2.7,2350
102,백령도,2012-12-24,1.8,2250
102,백령도,2012-12-25,.8,430
102,백령도,2012-12-27,.3,1250
102,백령도,2012-12-29,2.1,1540
102,백령도,2012-12-30,.1,1210
102,백령도,2012-12-31,2.1,2350
102,백령도,2013-01-01,5.4,2245
102,백령도,2013-01-02,2.1,2250
102,백령도,2013-01-03,.2,1245
102,백령도,2013-01-04,0,2330
102,백령도,2013-01-05,1.4,1630
102,백령도,2013-01-07,5.1,1740
102,백령도,2013-01-09,.5,2250
102,백령도,2013-01-10,.5,2050
102,백령도,2013-01-21,1.5,1430
102,백령도,2013-02-03,9.5,2350
102,백령도,2013-02-04,.5,120
102,백령도,2013-02-06,1.1,2240
102,백령도,2013-02-07,.3,730
102,백령도,2013-02-09,.2,1710
102,백령도,2013-02-12,3.2,1650
102,백령도,2013-02-17,1.8,850
102,백령도,2013-03-20,.2,650
102,백령도,2013-11-27,5.4,1120
102,백령도,2013-11-28,0,1
102,백령도,2013-12-10,0,2258
102,백령도,2013-12-11,.8,1030
102,백령도,2013-12-12,.1,750
102,백령도,2013-12-13,1.2,1140
102,백령도,2013-12-14,0,1
102,백령도,2013-12-19,.7,2020
102,백령도,2014-01-09,2.5,2359
102,백령도,2014-01-10,2.5,430
102,백령도,2014-01-11,.1,1155
102,백령도,2014-01-14,.4,755
102,백령도,2014-01-19,.3,2250
102,백령도,2014-01-20,1.2,1230
102,백령도,2014-02-07,2.7,2359
102,백령도,2014-02-08,5.4,1140
102,백령도,2014-03-08,0,1930
102,백령도,2014-12-02,.8,2350
102,백령도,2014-12-03,.4,50
102,백령도,2014-12-04,2.2,2355
102,백령도,2014-12-05,1,1630
102,백령도,2014-12-07,1.9,2255
102,백령도,2014-12-08,0,1
102,백령도,2014-12-12,7.5,1250
102,백령도,2014-12-14,11.5,1230
102,백령도,2014-12-15,0,950
102,백령도,2014-12-16,.2,1750
102,백령도,2014-12-21,10.4,1350
102,백령도,2014-12-22,.7,440
102,백령도,2015-01-01,.2,1020
102,백령도,2015-01-02,10.3,815
102,백령도,2015-01-25,1.3,1330
102,백령도,2015-01-29,0,2400
102,백령도,2015-01-30,.7,320
102,백령도,2015-11-26,1.4,1505
102,백령도,2016-01-13,.2,910
102,백령도,2016-01-14,7,1630
102,백령도,2016-01-17,.7,2155
102,백령도,2016-01-18,.5,1835
102,백령도,2016-01-19,.7,1513
102,백령도,2016-01-23,.9,1350
102,백령도,2016-01-24,5.4,2330
102,백령도,2016-01-25,.2,555
102,백령도,2016-02-15,1.5,1730
102,백령도,2016-02-16,.7,610
102,백령도,2016-02-22,.2,1555
102,백령도,2016-02-24,1,1950
102,백령도,2016-12-28,1,2250
102,백령도,2016-12-29,0,1
102,백령도,2017-01-13,6,1025
102,백령도,2017-01-19,11.2,2358
102,백령도,2017-01-20,.8,155
102,백령도,2017-01-21,2.3,1320
102,백령도,2017-01-22,0,1
102,백령도,2017-01-23,0,1
102,백령도,2017-01-29,7.5,1225
102,백령도,2017-01-30,0,1
102,백령도,2017-02-05,.1,345
102,백령도,2017-02-22,10.5,1130
102,백령도,2017-03-06,1.5,2350
102,백령도,2017-11-19,.5,645
102,백령도,2017-11-24,.4,635
102,백령도,2017-12-05,1.2,2030
102,백령도,2017-12-08,3.3,2120
102,백령도,2017-12-09,0,1
102,백령도,2017-12-11,.5,1930
102,백령도,2017-12-12,.8,1325
102,백령도,2017-12-15,.2,1040
102,백령도,2017-12-16,1.6,1535
102,백령도,2017-12-17,1.2,2340
102,백령도,2017-12-18,.2,130
102,백령도,2018-01-08,0,2230
102,백령도,2018-01-09,2.7,2330
102,백령도,2018-01-10,.6,2330
102,백령도,2018-01-11,1.1,1725
102,백령도,2018-01-12,1.8,2335
102,백령도,2018-01-13,.4,940
102,백령도,2018-01-22,2.8,1345
102,백령도,2018-01-23,1.2,2335
102,백령도,2018-01-24,.9,1030
102,백령도,2018-01-25,0,1
102,백령도,2018-01-26,0,1
102,백령도,2018-01-29,3.5,920
102,백령도,2018-01-30,1.2,1230
102,백령도,2018-02-02,1.5,1910
102,백령도,2018-02-11,.8,1935
102,백령도,2018-02-12,0,945
102,백령도,2018-12-07,0,
102,백령도,2018-12-08,7.3,1340
102,백령도,2018-12-11,.6,1035
102,백령도,2018-12-27,.4,2340
102,백령도,2018-12-28,1,335
102,백령도,2019-02-15,4.6,945
102,백령도,2019-02-19,3.7,535
102,백령도,2020-02-02,.3,2050
102,백령도,2020-02-03,0,
102,백령도,2020-02-04,.2,825
102,백령도,2020-02-07,0,
102,백령도,2020-02-15,4.1,2315
102,백령도,2020-02-16,1,1745
102,백령도,2020-02-17,0,
102,백령도,2020-12-19,.3,1605
102,백령도,2020-12-20,0,
102,백령도,2020-12-30,1.2,1640
102,백령도,2020-12-31,5.1,1435
102,백령도,2021-01-01,1.5,220
102,백령도,2021-01-03,0,
102,백령도,2021-01-04,4.7,2400
102,백령도,2021-01-05,3.3,335
102,백령도,2021-01-06,6.1,2355
102,백령도,2021-01-07,2.3,1745
102,백령도,2021-01-08,5.2,1240
102,백령도,2021-01-09,11.5,1750
102,백령도,2021-01-10,18.1,1655
102,백령도,2021-01-11,1.4,1955
102,백령도,2021-01-12,9.9,355
102,백령도,2021-01-16,0,
102,백령도,2021-01-17,2.5,1320
102,백령도,2021-01-18,.5,1055
102,백령도,2021-02-02,1.3,2125
102,백령도,2021-02-03,.2,2155
102,백령도,2021-02-16,1.5,1040
102,백령도,2021-02-17,.2,1435
102,백령도,2021-12-01,0,835
102,백령도,2021-12-17,0,
102,백령도,2021-12-18,3.5,1130
102,백령도,2021-12-25,1.4,2350
102,백령도,2021-12-26,1.3,2345
102,백령도,2021-12-27,.4,1120
102,백령도,2021-12-28,0,
